ID,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
361,26/08/2017,-26.62292322,-55.6638023,275.305908,2017-08-26T14:56:34Z,,,CC260820172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T14:56:34Z
362,26/08/2017,-26.63221724,-55.66071097,266.953491,2017-08-26T16:05:49Z,,,CC260820173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T16:05:49Z
363,26/08/2017,-26.62825076,-55.66148881,297.926819,2017-08-26T21:22:57Z,,,CC260820174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T21:22:57Z
134,10/09/2017,-26.62873649,-55.66661342,264.438354,2017-09-10T19:27:35Z,,,CC1009201711,20,20,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-10T19:27:35Z
135,10/09/2017,-26.62876775,-55.66701164,263.65921,2017-09-10T19:07:25Z,,,CC100920172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-10T19:07:25Z
146,11/09/2017,-26.62867522,-55.66019816,284.681549,2017-11-09T14:34:24Z,,,CC110920171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-11-09T14:34:24Z
165,12/09/2017,-26.62471955,-55.66255448,247.269272,2017-09-12T14:15:51Z,,,CC12092017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-12T14:15:51Z
166,12/09/2017,-26.62454705,-55.6622265,248.563965,2017-09-12T14:39:59Z,,,CC120920172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-12T14:39:59Z
167,12/09/2017,-26.62464,-55.66249698,247.278839,2017-09-12T14:16:25Z,,,CC1209201751,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-12T14:16:25Z
168,12/09/2017,-26.62753302,-55.66161789,240.883087,2017-09-12T10:16:59Z,,,CC1209201781,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-12T10:16:59Z
277,18/09/2017,-26.62871872,-55.66059647,280.357971,2017-09-18T11:30:01Z,,,CC18092017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-18T11:30:01Z
278,18/09/2017,-26.62583602,-55.66178,281.617371,2017-09-18T21:38:51Z,,,CC180920172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-09-18T21:38:51Z
136,10/10/2017,-26.63099214,-55.66032347,275.783508,2017-10-11T20:06:41Z,,,CC101020171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-10-11T20:06:41Z
