ID,Group,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
65,O,19/08/2014,-23.83323801,-56.29254101,132.282715,2014-08-19T12:59:45Z,,,MO190814-6,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T12:59:45Z
66,O,19/08/2014,-23.83324102,-56.29254503,132.906036,2014-08-19T12:58:10Z,,,MO190814-7,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T12:58:10Z
123,O,29/08/2014,-23.83204702,-56.29267696,207.863937,2014-08-29T19:39:56Z,,,MO290814,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-29T19:39:56Z
21,O,13/09/2014,-23.83244298,-56.29739497,178.663071,2013-09-13T11:56:15Z,,,MO130914,TRAIL5 FEEDING TREE,TRAIL5 FEEDING TREE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-13T11:56:15Z
35,O,15/09/2014,-23.83076501,-56.29061703,145.729202,2014-09-15T11:02:23Z,,,MO150914,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-09-15T11:02:23Z
274,O,11/11/2014,-23.82932802,-56.29376804,250.702469,2014-11-11T12:33:10Z,,,MO11112014,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-11-11T12:33:10Z
13,O,11/11/2014,-23.82932802,-56.29376804,250.702469,2014-11-11T12:33:10Z,,,MO111114,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-11-11T12:33:10Z
22,O,13/11/2014,-23.83150899,-56.29543603,192.371429,2014-11-13T11:41:49Z,,,MO131114,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-11-13T11:41:49Z
36,O,15/11/2014,-23.831986,-56.29422803,150.789246,2014-11-15T12:55:18Z,,,MO151114,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-11-15T12:55:18Z
119,F,25/11/2014,-23.82334837,-56.28777045,211.425262,2014-11-25T11:32:43Z,,,MF251120141,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-11-25T11:32:43Z
120,F,26/11/2014,-23.81814681,-56.29009525,201.323593,2014-11-26T20:28:14Z,,,MF261120141,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-11-26T20:28:14Z
1,O,01/12/2014,-23.83225196,-56.29485098,198.371704,2014-12-01T10:27:07Z,,,MO011214-2,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-12-01T10:27:07Z
197,O,04/12/2014,-23.83171099,-56.29650498,194.355804,2014-12-04T09:13:42Z,,,MO041220141,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-12-04T09:13:42Z
5,O,04/12/2014,-23.83033502,-56.29701401,195.267761,2014-12-04T08:44:02Z,,,MO041214,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-12-04T08:44:02Z
